# frame slotsLen hsa hsub stalled scanIdx slots offsets shot2 rollback
221 4 3 29 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
222 4 3 30 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
223 4 3 31 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
224 4 3 32 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
225 4 3 33 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
226 4 3 34 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
227 4 3 35 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
228 4 3 36 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
229 4 3 37 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
230 4 3 38 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
231 4 3 39 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
232 4 3 40 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
233 4 3 41 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
234 4 3 42 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
235 4 3 43 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
236 4 3 44 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
237 4 3 45 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
238 4 3 46 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
239 4 3 47 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
240 4 3 48 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
241 4 3 49 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
242 4 3 50 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
243 4 3 51 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
244 4 3 52 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
245 4 3 53 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
246 4 3 54 0 0 [5005] [0,0,0,0] [0000] [0,0,0,0]
